,session,reward,Level,probDiff
session,1.0,0.009175120602639912,0.24964720665520637,-0.1838752120949427
reward,0.009175120602639912,1.0,0.015297996148760887,0.12577612558280973
Level,0.24964720665520637,0.015297996148760887,1.0,0.08958323267364972
probDiff,-0.1838752120949427,0.12577612558280973,0.08958323267364972,1.0
