,difficultProblemCountSolved,FDActionCount,cumul_symbolicRepresentationCount,cumul_AppCount
difficultProblemCountSolved,1.0,0.38939969411161596,0.1604114123972864,0.09968065448523993
FDActionCount,0.38939969411161596,1.0,0.17291700531975232,0.5797556796819819
cumul_symbolicRepresentationCount,0.1604114123972864,0.17291700531975232,1.0,0.36453235912478704
cumul_AppCount,0.09968065448523993,0.5797556796819819,0.36453235912478704,1.0
