student,currProb,course,session,priorTutorAction,reward,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,easyProblemCountSolved,easyProblemCountWE,easyProbAlternate,UseCount,PrepCount,MorphCount,OptionalCount,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,WrongSemanticsApp,PrightAppRatio,InDirectProofActionCount,UseWindowInfo,BlankRatio,HoverHintCount,NextStepClickCountWE,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreEQUIV,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalWETime,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_DirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppRatio,cumul_hintRatio,cumul_HoverHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,0,535.244,535.244,0,11.15091667,17.61348112,1,0,1,0,0,0,0,0,3,4,3,0,1,0,0,4,0.24,0,4,0.193548387,1,0,0.039311765,0.126644304,0.01,0.01,0.01,0.01,0.017321138,0.01,0.01,0.01,0.01,0.01,47,0,535.244,0,11.15091667,1,0,0,0,0,0,3,3,4,3,0,0,17,6,0,0.24,1.5,0.413793103,31,31,31,4,6,0.806451613,0,1,0,0,472.5291424,402.2476603,754.2226573,85.89333199,226.8775
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,0,56.759,0,56.759,5.730519118,17.61348112,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.75,0,5,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,59,0,592.003,56.759,11.15091667,1,2,0,0,0,0,3,3,4,3,0,1,21,6,0,0.222222222,0.857142857,0.352941176,39,39,39,4,12,0.692307692,0,1,5,0,167.9528131,136.6535636,325.6199227,44.42744607,81.495
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,0,6.695,0,6.695,5.730519118,17.49993428,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0.166056337,0,0,1,0,5,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,65,0,598.698,63.454,11.15091667,1,2,0,0,0,0,3,3,4,3,0,2,22,6,0,0.222222222,0.545454545,0.315789474,44,44,44,4,17,0.613636364,0,1,10,0,572.535163,522.2272823,1017.360329,45.74223636,124.365
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.078947368421,0,635.59,635.59,0,7.141460674,15.1865151,1,0,1,0,0,0,0,0,9,10,3,26,0,0,3,38,0.151515152,0,0,0,2,0,0.073338722,0.189787315,0.011340922,0.311882337,0.011340922,0.011340922,0.012338528,0.011340922,0.011340922,0.011522626,0.011522626,0.061177253,152,0,1234.288,63.454,8.546233577,1,2,0,0,0,0,4,12,14,6,26,3,45,16,0,0.172043011,1.066666667,0.296296296,110,110,110,4,17,0.845454545,0,3,10,0,252.0669214,252.0669214,419.3237917,0,119.459
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,0,236.803,236.803,0,7.40009375,14.50507483,1,0,2,1,1,0,0,0,5,3,0,1,1,0,0,3,0.2,0,0,0,0,0,0.020446351,0.189787315,0.043154774,0.811713419,0.011340922,0.011340922,0.012338528,0.011340922,0.011340922,0.011522626,0.011522626,0.061177253,30,0,236.803,0,7.40009375,1,0,0,0,0,0,3,5,3,0,1,0,2,6,0,0.2,1,0.333333333,30,30,30,0,0,1,0,0,0,0,366.135642,318.9324098,568.136864,55.10625694,152.054
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,0,107.147,0,107.147,5.730519118,14.47614168,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.75,0,6,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,43,0,343.95,107.147,7.40009375,2,0,0,0,0,0,3,5,3,0,1,1,7,6,0,0.1875,0.6,0.285714286,38,38,38,0,6,0.842105263,0,0,6,0,215.5316966,166.3043781,514.1781711,50.54714033,64.568
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.810039805396,0,86.43,86.43,0,4.115714286,13.90662379,1,0,2,1,1,0,0,0,2,2,0,0,0,0,2,0,0.307692308,0,0,0,0,0,0.020446351,0.420810459,0.128746564,0.811713419,0.011340922,0.011340922,0.012338528,0.011340922,0.011340922,0.011522626,0.011522626,0.061177253,62,0,430.38,107.147,6.098735849,3,0,0,0,0,0,3,7,5,0,1,2,15,10,0,0.222222222,0.666666667,0.333333333,51,51,51,0,6,0.882352941,0,0,6,0,225.4508831,225.4508831,312.2420144,0,126.088
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,0,105.376,0,105.376,5.730519118,13.90662379,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0.166056337,0,0,1,0,9,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,10,0,105.376,105.376,6.100940583,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.160948709,0,0.268913966,9,9,9,0,9,0,0,0,9,0,506.9877537,465.9649527,877.4636507,48.64787226,148.718
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,0,25.25,0,25.25,5.730519118,13.88167173,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0.166056337,0,0,1,0,9,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,20,0,130.626,130.626,6.100940583,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.160948709,0,0.268913966,18,18,18,0,18,0,0,0,18,0,224.5486218,171.9041423,453.1682347,60.599419,68.9985
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.265073019499,0,166.742,166.742,0,4.904176471,13.52408389,1,0,3,1,1,0,0,0,4,5,0,0,0,0,2,2,0.25,0,0,0,0,0,0.068724812,0.873518523,0.315863074,0.930111632,0.011340922,0.011340922,0.012338528,0.011340922,0.011340922,0.011522626,0.011522626,0.061177253,52,0,297.368,130.626,4.904176471,3,0,0,0,0,0,2,4,5,0,0,2,8,7,0,0.25,0.318181818,0.28,46,46,46,0,18,0.608695652,0,0,18,0,304.7160905,304.7082155,374.6966858,0.113744052,179.1665
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,0,268.998,268.998,0,7.911705882,13.52957168,1,0,4,1,1,0,0,0,6,3,0,0,1,0,0,1,0.24,0,0,0,0,0,0.131476407,0.954091892,0.380399397,0.930111632,0.011340922,0.011340922,0.012338528,0.011340922,0.011340922,0.011522626,0.011522626,0.061177253,32,0,268.998,0,7.911705882,1,0,0,0,0,0,2,6,3,0,0,0,9,6,2,0.24,1,0.387096774,25,25,25,0,0,1,0,0,0,0,164.8392672,125.7966863,260.6786393,60.61856213,99.6955
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,0,47.158,0,47.158,5.730519118,13.51150278,1,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0.166056337,0,0,1,0,8,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,41,0,316.156,47.158,7.911705882,2,0,0,0,0,0,2,6,3,0,0,1,10,6,2,0.24,0.5,0.324324324,33,33,33,0,8,0.757575758,0,0,8,0,264.2295038,213.6990389,510.6006303,54.88639744,63.2005
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.608876560333,0,1242.01,1242.01,0,10.01620968,14.288877,1,0,4,1,1,0,0,0,21,5,1,0,0,0,2,12,0.1,0,0,0,0,0,0.131476407,0.994991609,0.086830037,0.930111632,0.011340922,0.011340922,0.029169644,0.011340922,0.011340922,0.011522626,0.011522626,0.061177253,163,0,1558.166,47.158,9.563341772,3,0,0,0,0,0,3,27,8,1,0,2,34,16,7,0.128,0.888888889,0.223776224,133,133,133,0,8,0.939849624,0,0,8,0,705.756679,705.756679,623.5281073,0,506.664
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,0,402.849,402.849,0,7.324527273,13.7973379,1,0,5,1,1,0,0,0,7,2,3,1,1,0,0,6,0.085106383,0,0,0,0,0,0.118561049,0.802733711,0.022533424,0.930111632,0.043154774,0.011522626,0.092393445,0.011340922,0.011340922,0.011522626,0.011522626,0.018611481,53,0,402.849,0,7.324527273,1,0,0,0,0,0,4,7,2,3,1,0,8,4,3,0.085106383,0.8,0.153846154,47,47,47,0,0,1,0,0,0,0,136.7717735,113.2824938,220.7980538,32.38021109,67.9345
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,0,17.809,0,17.809,5.730519118,13.78700284,1,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0.166056337,0,0,1,0,10,0.288451181,0.718127592,0.218331714,0.330663801,0.201765001,0.171641868,0.285440643,0.034150674,0.02269319,0.011597411,0.011823916,0.01206554,64,0,420.658,17.809,7.324527273,2,0,0,0,0,0,4,7,2,3,1,1,9,4,3,0.085106383,0.307692308,0.133333333,57,57,57,0,10,0.824561404,0,0,10,0,88.52143265,58.20607937,172.7969031,35.8557963,41.78
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.6883116883118,0,838.069,838.069,0,13.09482813,14.59857619,1,0,5,1,1,0,0,0,4,1,11,1,0,0,2,7,0.150943396,0,0,0,0,0,0.027667618,0.802733711,0.074459783,0.930111632,0.043154774,0.094231852,0.205840617,0.011340922,0.011340922,0.011522626,0.011522626,0.018611481,126,0,1258.727,17.809,10.42788235,3,0,0,0,0,0,4,11,3,14,2,2,20,12,5,0.12,0.631578947,0.201680672,110,110,110,0,10,0.909090909,0,0,10,0,537.6418304,537.6411391,788.7727724,0.009823053,354.852
